,Logistic Regression,Decision Tree,Random Forest,Gradient Boosting,SVM (RBF)
Cohort 1,0.169,0.589,0.531,0.507,0.415
Cohort 2,0.289,0.805,0.799,0.76,0.717
Cohort 3,0.086,0.568,0.526,0.43,0.368
Cohort 4,0.462,0.518,0.495,0.512,0.547
